,Unnamed: 0,PMISYR,SYSTEM,PAVTYP,CONYR,PMIS_LENGTH,LANE_MILES,PCI_2,IRI_INDX,CRACK_INDX,IRI,FRICT,FAULTAV,RUT,CRACK_RATIO,T_INDX,ACRACKH,ACRACKM,ACRACKL,TCRACKH,TCRACKM,TCRACKL,LCRACKH,LCRACKM,LCRACKL,LCRACKWH,LCRACKWM,LCRACKWL,DCRACKH,DCRACKM,DCRACKL,JTSPALLH,JTSPALLM,JTSPALL_LONG,JTSPALL_TRANS,PATCHAB,PATCHAG,PATCHES,AADT,TRUCKS,LANES,SPEED,SURFACE_TYPE,PAVTHICK,TACCDPTH,TPCCDPTH,BASEDPTH,TREATMENT,crash_count
0,0,2022,3,1,1967.0,0.73,3.35,29.0,69.16449913876474,73.0,294.8,50.4401533018868,0.165,0.18,26.67,80.0,58.31092601102941,613.62939906637,978.3758490629483,3.0,14.0,21.0,7.0,237.30891516107968,734.4432053040512,31.0,33.0,51.0,0.05412946428571429,1.7661576704545454,1.0820983125458548,8.0,34.0,,29.0,3329.0,1493.0,83.0,15733.0,431.0,5.0,25.0,74,10.0,7.564214440483373,10.0,8.058262907272029,AC,881
1,1,2022,3,3,1930.0,0.43,1.21,63.0,32.0,84.0,181.79,50.4401533018868,0.028624020087217296,0.09,15.96,81.0,58.31092601102941,613.62939906637,978.3758490629483,6.0046654608463035,39.01829500234082,150.0,27.3978533461758,237.30891516107968,527.0,61.51489311706678,279.90047538169455,2912.0,0.05412946428571429,1.7661576704545454,1.0820983125458548,7.679959515993053,8.805025834638132,,11.092266243472164,524.0,593.0,23.0,8775.0,248.0,2.0,25.0,60,9.0,3.0,6.0,8.058262907272029,AC,294
2,2,2022,3,4,2018.0,0.96,1.93,72.0,53.0,83.0,135.89,50.4401533018868,0.003,0.05,17.19,61.0,58.31092601102941,613.62939906637,7.0,6.0046654608463035,39.01829500234082,187.0,27.3978533461758,237.30891516107968,790.0,61.51489311706678,7.0,1645.0,0.05412946428571429,1.7661576704545454,1.0820983125458548,7.679959515993053,8.805025834638132,,1.0,58.0,154.0,9.0,6300.0,132.0,2.0,25.0,65,3.0,3.0,9.186688249960618,8.058262907272029,AC,236
3,3,2022,3,1,2005.0,0.17,0.34,61.0,34.0,88.0,177.25,50.4401533018868,0.0465,0.12,12.29,70.86870317179512,58.31092601102941,613.62939906637,978.3758490629483,6.0046654608463035,39.01829500234082,212.15784691500377,27.3978533461758,33.0,81.0,61.51489311706678,32.0,25.0,0.05412946428571429,1.7661576704545454,1.0820983125458548,7.679959515993053,18.0,,17.0,924.8565434619634,1741.0,23.0,11625.0,241.0,2.0,25.0,74,10.0,7.564214440483373,10.0,6.0,PC,24
4,4,2022,3,1,2005.0,1.41,2.93,71.0,56.0,86.0,129.46,51.0,0.0365,0.11,13.74,95.0,58.31092601102941,613.62939906637,978.3758490629483,2.0,4.0,2.0,58.0,3.0,11.0,5.0,53.0,14.0,0.05412946428571429,1.7661576704545454,1.0820983125458548,1.0,4.0,,10.0,180.0,367.0,13.0,17850.0,399.0,2.0,45.0,74,10.0,7.564214440483373,10.0,6.0,PC,248
5,5,2022,3,3,1939.0,3.86,7.84,80.0,84.0,83.0,66.29,43.0,0.004,0.16,17.28,71.0,58.31092601102941,8.0,11.0,6.0046654608463035,18.0,205.0,19.0,134.0,372.0,17.0,204.0,437.0,0.05412946428571429,1.7661576704545454,1.0820983125458548,7.679959515993053,1.0,,4.0,46.0,167.0,6.0,13167.0,524.0,2.0,55.0,65,19.5,12.0,8.0,8.058262907272029,AC,250
6,6,2022,3,3,1940.0,3.45,6.9,82.0,82.0,87.0,72.27,45.0,0.028624020087217296,0.14,12.71,70.0,58.31092601102941,613.62939906637,978.3758490629483,6.0046654608463035,60.0,150.0,27.3978533461758,27.0,14.0,61.51489311706678,588.0,264.0,0.05412946428571429,1.7661576704545454,1.0820983125458548,7.679959515993053,8.805025834638132,,11.092266243472164,924.8565434619634,392.6735188891561,13.521466712279867,9500.0,626.0,2.0,55.0,65,19.5,12.0,8.0,8.058262907272029,AC,75
7,7,2022,3,3,1940.0,1.93,3.87,64.0,54.0,74.0,134.48,43.0,0.0145,0.16,26.32,72.0,58.31092601102941,65.0,443.0,3.0,33.0,172.0,5.0,12.0,36.0,22.0,266.0,752.0,0.05412946428571429,2.0,1.0,1.0,1.0,,2.0,501.0,1003.0,24.0,9100.0,612.0,2.0,55.0,65,17.0,10.0,8.0,8.058262907272029,AC,123
8,8,2022,3,3,1941.0,3.32,6.63,83.0,84.0,87.0,66.44,50.0,0.028624020087217296,0.15,12.52,63.0,58.31092601102941,613.62939906637,978.3758490629483,6.0046654608463035,18.0,268.0,27.3978533461758,5.0,8.0,61.51489311706678,97.0,382.0,0.05412946428571429,1.7661576704545454,1.0820983125458548,7.679959515993053,8.805025834638132,,11.092266243472164,499.0,392.6735188891561,1.0,7225.0,587.0,2.0,55.0,65,17.5,10.0,8.0,8.058262907272029,AC,74
9,9,2022,3,3,1963.0,1.51,3.02,82.0,81.0,82.0,74.43,54.0,0.0115,0.08,17.75,48.0,58.31092601102941,613.62939906637,978.3758490629483,6.0046654608463035,162.0,180.0,27.3978533461758,219.0,501.0,61.51489311706678,263.0,417.0,0.05412946428571429,1.7661576704545454,1.0820983125458548,1.0,2.0,,1.0,924.8565434619634,392.6735188891561,13.521466712279867,1580.0,171.0,2.0,55.0,65,12.5,4.0,9.0,8.058262907272029,AC,5
10,10,2022,3,3,1929.0,0.51,1.02,81.0,88.0,74.0,58.51,57.0,0.028624020087217296,0.1,25.75,19.0,58.31092601102941,613.62939906637,978.3758490629483,6.0,315.0,171.0,27.3978533461758,376.0,425.0,61.51489311706678,560.0,569.0,0.05412946428571429,1.7661576704545454,1.0820983125458548,7.679959515993053,8.805025834638132,,11.092266243472164,924.8565434619634,392.6735188891561,13.521466712279867,1580.0,171.0,2.0,55.0,65,13.5,7.0,7.0,8.058262907272029,AC,1
11,11,2022,3,3,1963.0,1.64,3.29,76.0,69.0,82.0,100.04,61.0,0.028624020087217296,0.1,17.66,43.0,58.31092601102941,17.0,12.0,5.0,159.0,213.0,27.3978533461758,190.0,296.0,61.51489311706678,425.0,635.0,0.05412946428571429,1.7661576704545454,1.0820983125458548,7.679959515993053,8.805025834638132,,11.092266243472164,82.0,357.0,4.0,1898.0,252.0,2.0,55.0,65,12.5,4.0,9.0,8.058262907272029,AC,22
12,12,2022,3,3,1936.0,0.32,0.65,37.0,21.0,36.0,206.25,50.4401533018868,0.0335,0.14,63.74,67.0,58.31092601102941,12.0,978.3758490629483,58.0,74.0,42.0,27.3978533461758,237.30891516107968,68.0,61.51489311706678,184.0,141.0,0.05412946428571429,1.7661576704545454,1.0820983125458548,7.679959515993053,5.0,,11.0,3123.0,731.0,16.0,2580.0,323.0,2.0,25.0,65,10.5,4.0,7.0,8.058262907272029,AC,11
13,13,2022,3,3,1936.0,0.3,0.6,67.0,58.0,74.0,124.07,50.4401533018868,0.028624020087217296,0.14,26.38,26.0,58.31092601102941,111.0,833.0,6.0046654608463035,126.0,407.0,27.3978533461758,40.0,129.0,61.51489311706678,423.0,575.0,0.05412946428571429,1.7661576704545454,1.0820983125458548,7.679959515993053,8.805025834638132,,11.092266243472164,924.8565434619634,392.6735188891561,13.521466712279867,3145.0,323.0,2.0,25.0,65,10.5,4.0,7.0,8.058262907272029,AC,18
14,14,2022,3,3,1936.0,0.84,1.69,71.0,61.0,83.0,117.51,50.4401533018868,0.028624020087217296,0.15,16.83,31.0,58.31092601102941,613.62939906637,978.3758490629483,4.0,303.0,95.0,27.3978533461758,26.0,56.0,61.51489311706678,324.0,148.0,0.05412946428571429,1.7661576704545454,1.0820983125458548,7.679959515993053,8.805025834638132,,11.092266243472164,924.8565434619634,392.6735188891561,13.521466712279867,3567.0,329.0,2.0,25.0,65,16.5,10.0,7.0,8.058262907272029,AC,18
15,15,2022,3,3,1936.0,5.9,11.92,76.0,66.0,87.0,107.41,58.0,0.028624020087217296,0.11,13.21,47.0,58.31092601102941,96.0,29.0,6.0046654608463035,188.0,145.0,27.3978533461758,37.0,22.0,6.0,191.0,101.0,0.05412946428571429,1.7661576704545454,1.0820983125458548,7.679959515993053,8.805025834638132,,11.092266243472164,214.0,14.0,3.0,3108.0,328.0,2.0,55.0,65,15.5,9.0,7.0,8.058262907272029,AC,61
16,16,2022,3,3,1968.0,1.2,2.39,76.0,62.0,87.0,116.3,60.0,0.0025,0.09,12.79,66.0,58.31092601102941,613.62939906637,978.3758490629483,6.0046654608463035,92.0,134.0,27.3978533461758,26.0,26.0,61.51489311706678,27.0,2.0,0.05412946428571429,1.7661576704545454,1.0820983125458548,7.679959515993053,8.805025834638132,,7.0,129.0,95.0,4.0,2580.0,286.0,2.0,55.0,65,15.5,7.0,9.0,8.058262907272029,AC,7
17,17,2022,3,3,1940.0,1.96,3.92,76.0,63.0,89.0,114.56,61.0,0.028624020087217296,0.11,10.54,51.0,58.31092601102941,613.62939906637,26.0,2.0,122.0,203.0,27.3978533461758,8.0,2.0,61.51489311706678,36.0,1061.3347857808894,0.05412946428571429,1.7661576704545454,1.0820983125458548,7.679959515993053,8.805025834638132,,11.092266243472164,924.8565434619634,231.0,4.0,2433.0,263.0,2.0,55.0,65,17.5,10.0,8.0,8.058262907272029,AC,14
18,18,2022,3,3,1940.0,2.83,5.67,68.0,51.0,79.0,139.32,48.0,0.028624020087217296,0.1,20.65,44.0,58.31092601102941,613.62939906637,594.0,1.0,152.0,222.0,27.3978533461758,594.0,191.0,61.51489311706678,1021.0,599.0,0.05412946428571429,1.7661576704545454,1.0820983125458548,7.679959515993053,8.805025834638132,,11.092266243472164,423.0,301.0,11.0,2443.0,212.0,2.0,55.0,65,15.0,8.0,8.0,8.058262907272029,AC,23
19,19,2022,3,3,1927.0,2.11,4.22,63.0,63.0,64.0,114.08,48.0,0.028624020087217296,0.19,35.71,23.0,58.31092601102941,115.0,2116.0,1.0,147.0,402.0,27.3978533461758,1068.0,479.0,61.51489311706678,1419.0,1594.0,0.05412946428571429,1.7661576704545454,1.0820983125458548,7.679959515993053,8.805025834638132,,11.092266243472164,374.0,274.0,9.0,2850.0,216.0,2.0,55.0,65,12.5,6.0,7.0,8.058262907272029,AC,21
20,20,2022,3,3,1968.0,3.24,6.48,70.0,57.0,79.0,126.88,45.0,0.028624020087217296,0.11,21.25,45.0,58.31092601102941,613.62939906637,334.0,2.0,111.0,275.0,27.3978533461758,572.0,331.0,61.51489311706678,557.0,1116.0,0.05412946428571429,1.7661576704545454,1.0820983125458548,7.679959515993053,8.805025834638132,,11.092266243472164,91.0,115.0,3.0,3057.0,216.0,2.0,55.0,65,13.0,4.0,9.0,8.058262907272029,AC,40
21,21,2022,3,3,1927.0,0.35,0.7,49.0,29.0,62.0,188.5,46.0,0.016,0.17,38.31,38.0,58.31092601102941,613.62939906637,978.3758490629483,12.0,159.0,239.0,27.3978533461758,320.0,504.0,179.0,1985.0,1301.0,0.05412946428571429,1.7661576704545454,1.0820983125458548,7.679959515993053,8.805025834638132,,11.092266243472164,129.0,392.6735188891561,3.0,3550.0,213.0,2.0,55.0,65,8.5,2.0,7.0,8.058262907272029,AC,11
22,22,2022,3,3,1927.0,0.87,2.03,46.0,32.0,60.0,183.17,41.0,0.0055,0.26,40.3,29.0,58.31092601102941,613.62939906637,1696.0,6.0046654608463035,141.0,361.0,27.3978533461758,1133.0,963.0,21.0,1149.0,1904.0,0.05412946428571429,1.7661576704545454,1.0820983125458548,7.679959515993053,8.805025834638132,,11.092266243472164,1853.0,447.0,71.0,5318.0,164.0,2.0,50.0,65,12.5,6.0,7.0,8.058262907272029,AC,43
